Judul,Abstrak,Tanggal,Author,Jurnal,cluster
ANALISIS DAN IMPLEMENTASI IPTV DENGAN MENGGUNAKAN MEDIA WEBCAM,diperlukannyasuatusistemkeamananruanganuntukmengamankansebuahataulebihruanganyang dapatdipantau cctv merupakansebuahsistempemantauankeamananruangandenganmenggunakankameraberesolusitinggi dipantaumelaluisalurantelevisi dapatdilihatperangkat monitor iptv merupakanlayanan video digital termasukdidalamsiarantelevisi disiarkanmelaluiprotokol internet konsep iptv berbedadarisiaran tv melaluikabelatausatelitkarenadidistribusikanmelalui internet protokol padapenelitianiniakan bahas bagaimana banding protocol tcp udp sistem layan live tv broadcasting internet protocol television iptv butuh bandwidth quality of service qos efisiensi transmisi hasil analisis simpul internet protocol television iptv guna protocol udp baik banding internet protokol television iptv menggunakanprotokol tcp inididasarkanpadanilai delay packet loss udp lebihbaik kualitasgambarmenggunakan protocol udp lebihbaikdaripadamenggunakan protocol tcp karenadaripercobaanmenggunakan bandwidth 512 kbps 768 kbps 1024 kbps 2048 kbps dipancarkanoleh server client didapatnilai rms dariprotokol udp lebihkecildaripadaprotokol tcp,Publish Date 13 Aug 2012,"Mastrika, Vida",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,3
ANALISIS KINERJA ANOMALY-BASED INTRUSION DETECTION SYSTEM (IDS) DALAM MENDETEKSI SERANGAN DOS (DENIAL OF SERVICES) PADA JARINGAN KOMPUTER,sistem deteksi intrusi dasar anomali sistem aman jaring berfungsiuntuk deteksi ganggu jaring komputer cara mendeteksigangguan-gangguan sebut dasar pola anomali timbul serang denialof services dos salah satu contoh jenis serang ganggu infrastrukturdari jaring komputer serang jenis milik pola khas dalam setiapserangannya kirim jumlah paket data cara terus targetserangannya guna metode deteksi anomali serang dos dideteksidengan identifikasi pola anomali timbul metode deteksi berdasarkananomali milik tingkat salah deteksi cukup besar milik keunggulanuntuk deteksi jenis pola serang baru sistem deteksi intrusi punya untuk menganalisa trafik jaring danmengenali intrusi datang jadi bangun baselinesebagai dasar untuk beda trafik normal abnormal baseline tepat sangatmenentukan hadap deteksi serang dalam teliti fokusuntuk teliti sistem deteksi intrusi dasar anomali nama informasi baselinedibangun dasar karakteristik jaring benar untuk dapat tentu nilaibaseline yang baik kerja dari sistem uji simulasi serang sistemdeteksi intrusi dasar anomali milik tingkat akurasi besar 87 5 untuk serangandos udp flood,Publish Date 01 Mar 2013,"Ananda, Anak Agung Ngurah Wiweka",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,11
IMPLEMENTASI BASIS DATA TERDISTRIBUSI PADA SISTEM INFORMASI MANAJEMEN INDUSTRI DALAM OPTIMALISASI PRODUKSI,teknologi komputer baik perangkat keras perangkat lunak berperandalam optimal kerja industri ini banyak usaha menerapkansistem informasi optimal hitung produksi teliti inimengimplementasikan basis data distribusi sistem untuk rencana danoptimalisasi produksi suatu usaha arsitektur database buat pisah tiaptabel dasar fungsi dalam server bahan baku pegawai distribusi inidilakukan suatu timbang buah industri milik jumlah data besar dalamjangka panjang lebih kapasitas letak cara selain untuk meratakanbeban komputasi juga untuk mudah luas masa datang,Publish Date 01 Nov 2012,"Sucipta, I Gusti Ngurah Arya",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,14
PERANCANGAN DAN IMPLEMENTASI SISTEM INTERAKTIF JURNAL PADA SISTEM AKUNTANSI (AISO) PT. DIMATA SORA JAYATE,era komputerisasi bantu untuk selesai kerja lebih mudah salah satu susun jurnal transaksi aiso rupa salah satu sistem informasi uang kembang pt mata sora jayate bantu penyususnan jurnal giat uang namun aiso susun jurnal belum integrasi cara langsung sistem hasil data transaksi akan jadi jurnal hal adalah sistem retail prochain dalam teliti akan kembang sistem interaktif jurnal menggunanaka bahasa pemrograman java basis web akan integrasi aiso sistem prochain cepat proses laksana susun jurnal sistem interaktif jurnal ini sudah mampu jalan sesuai tuju buat yaitu mampu ambil data tabel butuh susun jurnal data sebut,Publish Date 13 Aug 2012,"Wirawan, I Made Widhi",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
PENGEMBANGAN APLIKASI BACK END SISTEM LAPORAN KERUSAKAN INTERN PDAM KOTA DENPASAR,pdam kota denpasar rupa badan usaha milik perintah beri layan masyarakat khusus upaya untuk penuh butuh pokok masyarakat air minum sehat sistem sedia pdam kota denpasar laku cara manual bayar laku online dasar alas tulis laku praktek kerja lapang pkl periode xv tahun 2018 pdam kota denpasar instansi lebih perlu ikut kembang serba online maju programmer pdam bimbing lapang saran tulis untuk aplikasi website sistem lapor rusa intern pde masih sering tanggap keluh cara manual juga agar pegawai bidang yang alami rusa perlu datang bidang pde untuk keluh jadi perlu suatu aplikasi website dasar alas tulis putus untuk aplikasi sistem lapor rusa intern fokus dari tulis kali adalah pada bagi back end sistem lapor rusa intern dasar observasi tulis pdam kota denpasar tiga keluh yang lanjut kategori tulis software hardware jaring pegawai bidang bisa kategori tipe tulis rincian keluh kata kunci lapor rusa website infomasi,Publish Date 14 Nov 2018,"Muliantara, Agus","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",7
Pengembangan Aplikasi Laporan Elektronik Sub Bidang Pelayanan Jasa Balai Besar Meteorologi Klimatologi dan Geofisika,balai besar meteorologi klimatologi geofisika wilayah iii salah satu dinas tugas untuk sedia data informasi bidang meteorologi klimatologi geofisika balai letak jalan raya tuban kuta kabupaten badung bal balai milik 3 bidang salah satu adalan bidang data informasi bidang data informasi sub bidang layan jasa bidang layan jasa lapor hari upa kece alat saji informasi website lain pada lapor masih guna microsoft word sangat arsip simpan hapus tidak sengaja untuk maka buat aplikasi lapor elektronik sub bidang layan jasa balai besar meteorologi klimatologi geofisika wilayah iii aplikasi harap bantu meminimalisir hilang lapor sudah arsip,Publish Date 14 Nov 2018,"Putra, I Made Sukarya Dwija","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",7
APLIKASI DETEKSI KERENTANAN GEMPA DI PROVINSI BALI MENGGUNAKAN METODE LEAST SQUARE,pulau bal rupa salah satu daerah rawan jadi gempa bumi besar jumlah korban jiwa akibat jadi gempa faktor salah satu kurang fasilitas perintah untuk prediksi potensi rentan jadi gempa suatu daerah dasar masalah sebut rasa perlu untuk suatu aplikasi beri informasi daerah potensi hadap bahaya gempa bumi provinsi bal guna metode least square metode least square guna untuk kira parameter koefisien suatu hubung linier dapat juga guna untuk bukan linier kasus parameter guna perameter hubung magnitudo frekuensi gempa bumi data frekuensi magnitude gempa bumi seluruh bal oleh dari badan meteorologi klimatologi geofisika,Publish Date 13 Aug 2012,"Ari Wiwekananda, I Ketut",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
ANALISIS SISTEM INFORMASI GEOGRAFIS KEPADATAN PENDUDUK KOTA DENPASAR DENGAN MENGGUANAKAN ARC VIEW 3.3,kota denpasar rupa ibu kota provinsi bal kota denpasar jadi pusatpemerintahan provinsi bal kota denpasar milik 4 camat kecamatandenpasar utara camat denpasar timur camat denpasar selatan dankecamatan denpasar barat karena kota denpasar jadi pusat pemerintahanprovinsi kota jadi jadi nya padat duduk efek darikepadatan duduk lahan kosong mulai hilang kemcetan padat duduk rupa masalah sangat perhitungkanoleh perintah indonesia umum salah satu masalah jadi darikepadatan duduk adalah macet banyak nya mukim ada inimengakibatkan kota denpasar jadi sesak mukim ada nya lahan hiaju jurnal akan analisa padat duduk kota denpasar melaluibeberapa jenis padat duduk dasar ilmu demografi kepadatanpenduduk aritmatik padat duduk agraris padat duduk fisiologi dll,Publish Date 01 Nov 2012,"Dika, I Gede Suhanggara",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,11
"JELIKU Front Cover Volume 7 No 3, 2019",,Publish Date 27 Feb 2019,"Mustika, Nyoman Ima Sati","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 3 (2019): JELIKU Volume 7 No 3, Februari 2019",1
PERANCANGAN SISTEM SIMULASI ANTRIAN KENDARAAN BERMOTOR PADA STASIUN PENGISIAN BAHAN-BAKAR UMUM (SPBU) MENGGUNAKAN METODE DISTRIBUSI EKSPONENSIAL STUDI KASUS : SPBU SUNSET ROAD,tingkat jumlah kendara motor roda empat atas signifikan membuatpihak spbu tingkat layan hadap customer antri panjangtidak jadi customer laku transaksi beli bahan bakar tetapi efisiensidari aspek baik dari segi pompa server operator tetap jaga metode guna untuk hitung waktu datang waktu pelayanansetiap langgan beli layan operator tiap pompa server adalahdistribusi eksponensial distribusi lebih dekat lebih konstandaripada distribusi normal dasar sistem simulasi bangun hasil dengan 3pompa server spbu sunset road peluang jadi antri panjang bisa minimal,Publish Date 01 Nov 2012,"Trisnadewi, Kadek Dian",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,3
ENKRIPSI DAN DEKRIPSI AUDIO FORMAT AMR DENGAN ALGORITMA KRIPTOGRAFI LOKI97,algoritma kriptografi loki97 rupa algoritma block cipher kriptografi guna untuk aman data cara sandi data algoritma loki97 masuk kandidat advanced encryption standard aes aju national institute of standards and technology nist proses laku sandi data proses enkripsi dekripsi algoritma loki97 laku proses enkripsi dekripsi data 128 bit kunci guna panjang 128 192 256 bit untuk mudah guna algoritma loki97 buat aplikasi algoritma loki97 bahasa pemrograman delphi 7 0 enkripsi mendekripsi file audio format amr dasar uji laku rms root mean square simpul algoritma kriptografi loki97 dapat guna untuk laku enkripsi audio format amr rahasia data jadi aman samping aplikasi juga kembali hasil enkripsi audio format amr,Publish Date 13 Aug 2012,"Putra, A.A Ngr. Maha",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
"Pengembangan Aplikasi Backend Pembuatan Surat (E-Surat) Dinas Komunikasi, Informatika, Dan Statistik Provinsi Bali",dinas komunikasi informatika statistik provinsi bal rupa organisasi perangkat daerah opd milik tugas untuk selesai masalah teknologi informasi ti lingkung perintah provinsi bal semua daerah provinsi bal instansi laksana tugas kerja telah rencana keluar surat perintah tugas spt pihak wenang tugas pegawai staff untuk laku kerja spt surat tambah sppd dalam arsip guna cara manual tuju teliti aplikasi e-surat dinas komunikasi informatika statistik provinsi bal buat metode sdlc guna hosting baliprov go id database mysql aplikasi harap dapat bantu laku buat surat cara mudah cepat meminimalisir salah ada arsip surat lebih baik dengan ada aplikasi kerja pegawai dinas komunikasi informatika dan statistik provinsi bal dapat lebih optimal,Publish Date 14 Nov 2018,"Mastrika, Vida","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",14
"JELIKU Back Cover Volume 7 No 2, 2018",,Publish Date 14 Nov 2018,"Vero Wahyudi, Gustri","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",1
IMPLEMENTASI QUALITY OF SERVICE DENGAN METODE HTB (HIERARCHICAL TOKEN BUCKET) PADA PT.KOMUNIKA LIMA DUABELAS,guna bandwidth buah jaring seringkali kurang manfaat cara optimal juga temu guna tahu tidak sistem yangmengatur sembarang orang masuk guna bandwidth padasuatu tempat enak rugi pihak quality of service qos bukanmembatasi jaga kualitas bandwidth ada quality of service dalamsebuah jaring intranet akibat ketidaksinambungan bandwidth terima client dasar hasil teliti telah laku paket bandwidthminimal cir committed information rates lebih cir tidak lebih mir maximum information rates traffic parentnya tidak penuh pemerataanbandwidth sesuai prioritas kondisi traffic paket penuh hierarchical token bucket htb maksimal bandwidth tidak pakai sehingga kualitas layan menjadilebih tingkat,Publish Date 01 Mar 2013,"Sinulingga, Sahmanbanta",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,11
Cover & Table of Contents Vol. 9 No. 2,,Publish Date 15 Dec 2020,"Firdaus, Fachrosi","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 9 No 2 (2020): JELIKU Volume 9 No 2, November 2020",1
RANCANG BANGUN SISTEM DIAGNOSIS KERUSAKAN PADA MOBIL MENGUNAKAN METODE FORWARD CHAINING,rusa mesin mobil jadi akibat lalai laku watan milik baru sadar rusa mobil dapat beroprasi mesti karena guna mobil besar butuh awat cara deteksi rusa jadi mobil misal mobil bersuaraberisik tidak punya gambar sebut jadi hal mendorongpembangunan sistem pakar untuk identifikasi rusa mesin mobil penyampaianinformasi minta request user request sebut proses sistemkemudian hasil kirim ke user dengan tampil dinamis sistem dibangunberbasis web dengan harap untuk mudah guna dalam akses sistem inimampu beri informasi optimal timbal balik guna sistem teliti ini harap beri informasi hal yang berhubungandengan masalah rusa mesin cara cepat mudah efisien cara timbal baik antarauser sistem,Publish Date 01 Nov 2012,"Adhika, A.A.Ngurah Pradnya",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,14
IMPLEMENTASI MySQL CLUSTER PADA BASIS DATA TERDISTRIBUSI,usaha milik sistem infomasi lengkap mudah akses siapa sistem informasi usaha tunjuk kredibilitas untuk go public untuk kenal khalayak umum praktik sistem informasi akses client khalayak umum kadang jadi gagal karena sisi server jadi failure gagal failure sendiri karena server mati tidak ada backup server langsung ganti ketika server utama mati salah satu solusi untuk atas masalah atas dengan guna teknologi mysql cluster karena di dalam teknologi mysql cluster replikasi database dapat sistem yang mampu atas failure sistem database sendiri,Publish Date 13 Aug 2012,"Rudyarta, I Gede Indra",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
IMPLEMENTASI BACKPROPGATION DALAM PENGOLAHAN CITRA TEKS TULISAN TANGAN MENJADI TEKS DIGITAL,kenal pola hal cukup sulit laku komputer komputer dapat langsung nali pola citra perlu proses alat dapat guna untuk olah citra komputer teliti tugas akhir suatu aplikasi hubung kenal pola olah citra aplikasi dapat nali pola tulis tangan ubah jadi teks digital aplikasi guna metode backpropagation proses kenal input upa citra ekstensi bitmap olah dahulu rangkai proses sebut tahap preprocessing tahap diri greyscale thresholding segmentasi cropping normalisasi telah preprocessing baru tahap kenal akan laku akurat hasil dapat proses besar 67 99 dapat dari hasil uji coba 50 data uji guna 660 data referensi learning rate 0 001 error rate 0 01 epoch 100 inisial bobot awal -0 5 0 5 input patern 30 x 30 piksel input neuron 900 hidden layer 55 output neuron 900 dapat simpul aplikasi cukup baik dalam proses kenal pola tulis tangan,Publish Date 13 Aug 2012,"Mastrika, Vida",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,3
Rancang Bangun Aplikasi Pengelolaan Aktivitas Harian Di BKPSDM Gianyar,dunia kantor pegawai milik wajib untuk laksana tugas kerja kantor hari pegawai laksana tugas harus selesai untuk beri transparansi atas arsip giat hari pegawai perlu untuk buat buah sistem informasi manajemen pegawai simpeg bas web untuk simpan arsip aktivitas hari cara online sistem mudah user pegawai laku input aktivitas hari cara online harus buka file excel komputer hari user menginput aktivitas hari browser hp sistem rancang metode kembang system extreme programming xp uji dilakuakan hadap sistem guna metode black box tunjuk fungsionalitas sistem,Publish Date 14 Nov 2018,"Arifin, Yunus","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",14
PENGEMBANGAN APLIKASI FRONT END SISTEM LAPORAN KERUSAKAN INTERN PDAM KOTA DENPASAR,pdam denpasar city is a government-owned business entity which provides services to the community especially in an effort to fulfill the basic needs of the community for healthy drinking water most of the systems available in pdam kota denpasar are still done manually only payments have been made online based on this reason the author conducted the xv period job training pkl in 2018 in pdam kota denpasar because this agency needed something more in order to be able to keep up with this online and advanced development from pdam programmers and field supervisors they advise the authors to make an application or website for an internal damage report system because in the pde section they often respond to complaints manually and also so that other field employees who are damaged do not need to come to the pde to file complaints an application website based on this reason the author decided to make an internal damage report system application the focus of the author this time is on the front end of the internal damage report system based on the observation of the writer in pdam kota denpasar there are three types of complaints which are then categorized by the authors namely software hardware and network later other field employees can determine the category type and write down the details of the complaint keywords damage reports website information,Publish Date 14 Nov 2018,"Vida Mastrika Giri, Gst Ayu","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",12
ANALISIS KINERJA RIP (ROUTING INFORMATION PROTOCOL) UNTUK OPTIMALISASI JALUR ROUTING,jaring kumpul alat komunikasi saling hubung satu lain iring jalan waktu jaring komputer kembang pesat ini hamper instansi perintah butuh jaring untuk laku komunikasi tukar informasi laku tukar informasi alami masalah komunikasi time-out data kirim lambat rusak bahkan sampai tuju rute paket data kirim jauh untuk optimal kerja router alami status sebut perlu guna metode routing tepat routing information protocol rip rupa buah routing protocol beri jalur rute pendek rute baik lalu oleh paket data kirim hemat guna bandwith hop tuju dapat capai cepat rip guna teknologi distance vector sangat efisien proses kirim update informasi rute ini rip jadi buah routing protocol sangat stabil untuk interior routing akan tetapi dapat beberapa penting perlu perhati implementasi rip perlu perhati teliti untuk tahu kerja rip optimal kerja jaring ping time request angka time to live ttl shortest path waktu konvergensi buah router laku baharu informasi routing dasar hasil teliti yang telah laku cepat waktu konvergensi rata bawah 30 detik baharu informasi routing rip mampu optimal kerja jaring,Publish Date 13 Aug 2012,"Satwika, Ida Bagus Dhany",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
PERANCANGAN POP3 SERVER DENGAN STREAM CONTROL TRANSMISSION PROTOCOL (SCTP) DALAM PROSES PENGUNDUHAN EMAIL,email rupa layan sangat penting guna internet denganadanya email mudah orang untuk tukar informasi cara cepat harusmenggunakan jasa pos butuh waktu lebih untuk terima sebuahemail lalu proses unduh email pop3 server fungsi untuk melakukanproses unduh email layan webmail guna pop3 server digunakanumumnya guna protokol tcp beberapa email server sendmail postfix qmail lain iring kembang teknologi telah protokol baru yaituprotokol sctp dukung fiture message oriented butuh beberapaaplikasi email ancang sistem teliti guna bahasa pemrograman javadan terap protokol sctp pop3 server dapat implementasi dalamproses unduh email,Publish Date 01 Nov 2012,"Budi Rinanta Putra, I Gde",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,3
Pengembangan Sistem Arsip Dokumen Keuangan (SIMARKU) Sekretariat DPRD Kabupaten Gianyar,sekretariat dprd kabupaten gianyar rupa buah lembaga milik tugas dukung tugas fungi dprd sekretariat dprd beri layan administrasi fasilitas untuk wujud layan prima lembaga dewan wakil rakyat daerah segala lengkap administrasi dprd layan sekretariat dprd demikian aka nada berkas dokumen jadi arsip lapor daerah masuk arsip dokumen uang lengkap periksa dokumen uang jadi acu bendahara laku pertanggungjawaban dana beri perintah daerah bulan kelola tanggung jawab jalan tugas khusus bagi uang jarang jadi keliru laku penginputan data hitung jumlah uang telah pakai akan laku cari berkas kembali hasil analisa identifikasi sekretariat dprd kabupaten gianyar perlu buah system mampu beri informasi putar arsip uang baik giat kunjung kerja dapat mudah laku kece berkas kembali mu periksa itu bangun buah system informasi arsip dokumen uang system informasi bangun guna bahasa pemrograman html php javascript juga guna mysql bagai simpan data,Publish Date 14 Nov 2018,"Hietania, Fifin","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",7
Editorial Boards and Contents,,Publish Date 15 Jul 2019,"rani, sumi rani","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",1
PERANCANGAN FTP (FILE TRANSFER PROTOCOL) MELALUI SCTP (STREAM CONTROL TRANSMISION PROTOCOL) MENGGUNAKAN SOCKET PROGRAMMING,file transfer protocol ftp file transfer protocol jadi guna mudah guna untuk proses tukar data seringkali jadi masalah proses transfer data laku upaya untuk atas sebut untuk sempurna proses kirim data guna teknologi baru dukung untuk jamin proses transfer data quality of service qos misal integrated service architecture isa diffrentiated service architecture dsa dua sulit untuk laku perlu ubah arsitektur jaring cara dasar salah satu solusi untuk dukung butuh kualitas layan guna protokol baru terap ubah bentuk arsitektur jaring stream control transmision protocol sctp protokol baru dapat andal milik bayak lebih banding transmission transfer protocol tcp sctp sifat message-oriented handal sctp simpan batas pesan saat yangsama deteksi hilang data duplikasi data out of order data sctp milik mekanisme kontrol alir data guna protokol sctp ftp harap delay rusa data dapat diminimalisir sctp milik kerja kehandalan lebih banding dengan guna tcp,Publish Date 13 Aug 2012,"Pidada, Ida Bagus Naradhipa",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
